Hotel_Name,Star_Rating,Address,Double or Twin Room,Twin Room,Quadruple Room,Family Room with Bathroom,Deluxe Double Room,Double Room with Terrace,King Studio with Sofa Bed,Penthouse Apartment,Standard Twin Room,Suite,Classic Triple Room,Classic Quadruple Room,Single Room,Studio,Superior Apartment,Deluxe Apartment,Double Room,Studio (2 Adults),Triple Room,Superior Double Room with Garden View,Standard Triple Room,Superior Triple Room with Garden View,Standard Quadruple Room with Kitchenette,Superior Double Room with Sofa and with Garden View,Deluxe Two-Bedrooms Apartment with Fireplace,Deluxe Single Room,Tent,Economy Twin Room,Superior Family Room,Family Room,Twin Room with Shared Bathroom,Double Room with Private Bathroom,Triple Room with Shared Bathroom,Triple Room with Private Bathroom,Quadruple Room with Private Bathroom,Double or Twin Room with Extra Bed,Standard Double or Twin Room,Standard Suite,Superior Double or Twin Room,Superior Suite,Standard Double Room,Standard Quadruple Room,Triple Room with Shower,Double Room with Private External Bathroom,Double Room with Balcony,Apartment - Ground Floor,Two-Bedroom Apartment,Deluxe Twin/Double Room
atlas,3,"Tyršova 2063, Benešov, 256 01, Czech Republic",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
benica,3,"Ke Stadionu 2045, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sporthotel-zimni-stadion-benesov,3,"Hrázského 1913, Benešov, 256 01, Czech Republic",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pension-konopiste,4,"Konopiste 30, Benešov, 25601, Czech Republic",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pension-konopiste,4,"Konopiste 30, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pension-konopiste,4,"Konopiste 30, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pension-konopiste,4,"Konopiste 30, Benešov, 25601, Czech Republic",,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pension-konopiste,4,"Konopiste 30, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karlov,4,"Na Karlově 97, Benešov, 256 01, Czech Republic",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penzion-bedra,3,"Bedrč 14, Benešov, 25601, Czech Republic",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penzion-bedra,3,"Bedrč 14, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penzion-bedra,3,"Bedrč 14, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penzion-bedra,3,"Bedrč 14, Benešov, 25601, Czech Republic",,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
dvur-pecinov,4,"Pecínov čp. 1, Benešov, 256 01, Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
